name,ip
ts-route-service-54d744ccc9-6nwqm,10.244.4.33
ts-seat-service-5b97bc9fb5-fj26r,10.244.1.50
ts-seat-service-5b97bc9fb5-jxr6j,10.244.5.32
ts-security-service-6cfbd5679-h46xv,10.244.5.33
ts-security-service-6cfbd5679-w44vz,10.244.5.34
ts-station-food-service-b974d49f7-9kh6g,10.244.3.55
ts-station-food-service-b974d49f7-m82zg,10.244.1.52
ts-station-service-69dd95ff9d-92mnb,10.244.2.57
ts-station-service-69dd95ff9d-rnzmz,10.244.2.63
ts-ticket-office-service-5ccb5477cf-4gmjc,10.244.3.53
ts-ticket-office-service-5ccb5477cf-gqpcg,10.244.3.56
ts-train-food-service-6cc445bdd5-cgng6,10.244.5.35
ts-train-food-service-6cc445bdd5-h4zbm,10.244.4.36
ts-train-service-c8696bf95-bv5t9,10.244.2.61
ts-train-service-c8696bf95-mg4kb,10.244.4.34
ts-travel-plan-service-6b59d578db-mxmgq,10.244.4.35
ts-travel-plan-service-6b59d578db-n7qck,10.244.4.37
ts-travel-service-c598b7879-6mllj,10.244.1.53
ts-travel-service-c598b7879-bb7s2,10.244.3.59
ts-travel2-service-7ccf6c966f-228fh,10.244.5.37
ts-travel2-service-7ccf6c966f-h5mmq,10.244.2.60
ts-ui-dashboard-546ff59599-6dpsx,10.244.4.38
ts-user-service-5fc7759cf4-b8hlk,10.244.3.58
ts-user-service-5fc7759cf4-kgg9s,10.244.2.62
ts-verification-code-service-6445455b6c-9mnnz,10.244.5.39
ts-verification-code-service-6445455b6c-l7vxt,10.244.5.38
ts-voucher-service-66786949b4-8l97n,10.244.2.59
ts-voucher-service-66786949b4-gldl5,10.244.1.54
ts-wait-order-service-d96db497b-896kd,10.244.5.36
ts-wait-order-service-d96db497b-f9lhl,10.244.3.57
tsdb-mysql-0,10.244.3.37
tsdb-mysql-1,10.244.4.25
tsdb-mysql-2,10.244.5.26
