name,id
kube-scheduler,docker://f95e4ed1d8e4be2868c3bc7e1b489490d0227b37749b30700996a5c645901fb4
kube-state-metrics,docker://610fb37aeba18afc8376ba8bd49ef33b38be7638822344081df608434a799413
loki,docker://01b1d6b94ef36e51f87e7be88e9585e71c6757f45f844deb34b46b4fa4b0b9cb
manager,docker://34b72f009f3c79a777aab96fae613ab087ff9681cd6a274c21072c86a83db5b8
mysql,docker://46fbf558be0393e5f35f4090047b855d76f74f7b9f79cf669d5b4d5fd054cbf2
mysql,docker://5da4935e2e23308fe20eba87c180fb91fd91ba4b0c4e7323d643c2d822da4b0c
mysql,docker://88b3e0aac45f301b18b4f45a42e7a7534d67237d68d63b14cff668e4fc58c3f4
mysql,docker://992bd442e137071901983d332421017b99c7970c4e0bb9a8e2323420f4f74b45
mysql,docker://9bc51836e62dfcf1d8f21c90a3325a9a85609be26ba3f4a3332f73a262cd24bb
mysql,docker://aa350c1f17dc988a11bc8e3c4561ed4605aaf605c6cc8ff80699ff5088cc053a
node-exporter,docker://150f0d5c8c6199a6daaa81d4e91d7cd84d5a90ee81d4a75a10d3ed582a899fad
node-exporter,docker://3d4474bf2ebf1f06a9a913424ae35ed402e6eb86d22a4508b3f0c40fd4031457
node-exporter,docker://5375b779297aaa6973c6777952a379fbed8050184a8d2b660bd1792898e06026
node-exporter,docker://6347e5d26932281b186471a4df34a7408f9319116acfa0e52ce45130967c01b7
node-exporter,docker://b7bfc0aa9888a13916ffd45ee6cf79fb409e0cf775d233b6b2bc9fa051e1f10d
node-exporter,docker://bc55ca8881d488f07f36d29c3c237cdaaa280725825b1caca8fbc70104583c4e
opentelemetry-collector,docker://17d11537c72f065fd28c6b345746eeb662b109de1fb927f662f700737662bfcd
opentelemetry-collector,docker://521c7157db259e326867b15dec348668689bb52c57f53fca65a245f5ec3fd29d
opentelemetry-collector,docker://a2a531b6d7dfdc8cc9c19e03a3ceb825747f0dfecbb3627ea04278d930c31152
opentelemetry-collector,docker://bf834559bb1190702e48e54ac76d005c0509a847989b6fb4e8b5e9526debc5b5
opentelemetry-collector,docker://e40ff7d853435dd82e06b643910655dce621fcf93286d4574cc6f2493fa0d5af
opentelemetry-collector,docker://f1923473ebcc138b5826075f3801e3ea0e066d1bb404ebd7988b8febea18e065
prometheus,docker://bc4bc389b46a3d0887935898d9e57b155993f38d23ea4671464b1d08169fa371
promtail,docker://3b208bc15490b3a91b3b805c06ef495928c1f86cf00a6ca869446676a796a513
promtail,docker://5e2dc00236b934f638c8b85102df69707b676a62f35276637d31cd84855f112e
promtail,docker://95a813f6ff3f2ebd4ded3fdd189a4369b0d27e540bc9ad174fe68228df318c4d
promtail,docker://9b99632bf94b400d5f75d1823185b134ed4e8464e999d297d192de48797c5492
promtail,docker://c66e562efb5457c1dbcf1cbb888c2e1cdc3e98d691ba6676a22e37fbefd7c53d
promtail,docker://de4554724a3e45af6b76f73de790e278588a0cc252a426a87678e6d51042cb23
