service,pod
ts-admin-user-service,ts-admin-user-service-7d94ff5bc6-pcf7v
ts-assurance-service,ts-assurance-service-75857d4f45-b28xp
ts-assurance-service,ts-assurance-service-75857d4f45-mjmvt
ts-auth-service,ts-auth-service-6f695b66dc-8xx85
ts-auth-service,ts-auth-service-6f695b66dc-rqt7m
ts-avatar-service,ts-avatar-service-7d66bbcfb8-r8q2w
ts-avatar-service,ts-avatar-service-7d66bbcfb8-sczmm
ts-basic-service,ts-basic-service-6f7d85c664-lkwnv
ts-basic-service,ts-basic-service-6f7d85c664-p9vcx
ts-cancel-service,ts-cancel-service-74d57dff8d-dz4hz
ts-cancel-service,ts-cancel-service-74d57dff8d-hlmr2
ts-config-service,ts-config-service-56756cd4b7-6hmbl
ts-config-service,ts-config-service-56756cd4b7-kxz4r
ts-consign-price-service,ts-consign-price-service-756469f8f9-h5crm
ts-consign-price-service,ts-consign-price-service-756469f8f9-rf8vj
ts-consign-service,ts-consign-service-57dff95494-klmwp
ts-consign-service,ts-consign-service-57dff95494-n4j2z
ts-contacts-service,ts-contacts-service-7598b8f96f-qqxqm
ts-contacts-service,ts-contacts-service-7598b8f96f-x64xc
ts-delivery-service,ts-delivery-service-796698457f-p6887
ts-delivery-service,ts-delivery-service-796698457f-zqrkr
ts-execute-service,ts-execute-service-76584dd465-96d4p
ts-execute-service,ts-execute-service-76584dd465-c7628
ts-food-service,ts-food-service-66f9498cdf-l826t
ts-food-service,ts-food-service-66f9498cdf-xf27r
ts-gateway-service,ts-gateway-service-6f99b4b794-m7t6b
ts-gateway-service,ts-gateway-service-6f99b4b794-txqfb
ts-inside-payment-service,ts-inside-payment-service-5d897577cc-4zn5m
ts-inside-payment-service,ts-inside-payment-service-5d897577cc-v7hqm
ts-news-service,ts-news-service-867fc4cb4f-xd62r
ts-news-service,ts-news-service-867fc4cb4f-zlnt6
ts-notification-service,ts-notification-service-54b94867b9-ddfvc
ts-notification-service,ts-notification-service-54b94867b9-k4qbq
ts-order-other-service,ts-order-other-service-599787b58b-48p9p
ts-order-other-service,ts-order-other-service-599787b58b-k9lr8
ts-order-service,ts-order-service-5cffbb94fd-9k6vs
ts-order-service,ts-order-service-5cffbb94fd-tqpsq
ts-payment-service,ts-payment-service-bcd86c6d7-h2kfz
ts-payment-service,ts-payment-service-bcd86c6d7-lrq7v
ts-preserve-other-service,ts-preserve-other-service-b89f79469-6t9bs
ts-preserve-other-service,ts-preserve-other-service-b89f79469-t7n9k
ts-preserve-service,ts-preserve-service-f67995894-27flb
ts-preserve-service,ts-preserve-service-f67995894-gc5qw
ts-price-service,ts-price-service-7c9648f9dc-jr7g6
ts-price-service,ts-price-service-7c9648f9dc-t8wk4
ts-rebook-service,ts-rebook-service-9b757b65-cjsrz
ts-rebook-service,ts-rebook-service-9b757b65-wncfw
ts-route-plan-service,ts-route-plan-service-55ffcdf865-hbkmh
ts-route-plan-service,ts-route-plan-service-55ffcdf865-tpc98
ts-route-service,ts-route-service-54d744ccc9-2t4gh
ts-route-service,ts-route-service-54d744ccc9-6nwqm
ts-seat-service,ts-seat-service-5b97bc9fb5-fj26r
ts-seat-service,ts-seat-service-5b97bc9fb5-jxr6j
ts-security-service,ts-security-service-6cfbd5679-h46xv
ts-security-service,ts-security-service-6cfbd5679-w44vz
ts-station-food-service,ts-station-food-service-b974d49f7-9kh6g
ts-station-food-service,ts-station-food-service-b974d49f7-m82zg
ts-station-service,ts-station-service-69dd95ff9d-92mnb
ts-station-service,ts-station-service-69dd95ff9d-rnzmz
ts-ticket-office-service,ts-ticket-office-service-5ccb5477cf-4gmjc
ts-ticket-office-service,ts-ticket-office-service-5ccb5477cf-gqpcg
ts-train-food-service,ts-train-food-service-6cc445bdd5-cgng6
ts-train-food-service,ts-train-food-service-6cc445bdd5-h4zbm
ts-train-service,ts-train-service-c8696bf95-bv5t9
ts-train-service,ts-train-service-c8696bf95-mg4kb
ts-travel-plan-service,ts-travel-plan-service-6b59d578db-mxmgq
ts-travel-plan-service,ts-travel-plan-service-6b59d578db-n7qck
ts-travel-service,ts-travel-service-c598b7879-6mllj
ts-travel-service,ts-travel-service-c598b7879-bb7s2
ts-travel2-service,ts-travel2-service-7ccf6c966f-228fh
ts-travel2-service,ts-travel2-service-7ccf6c966f-h5mmq
ts-ui-dashboard,ts-ui-dashboard-546ff59599-6dpsx
ts-user-service,ts-user-service-5fc7759cf4-b8hlk
ts-user-service,ts-user-service-5fc7759cf4-kgg9s
ts-verification-code-service,ts-verification-code-service-6445455b6c-9mnnz
ts-verification-code-service,ts-verification-code-service-6445455b6c-l7vxt
ts-voucher-service,ts-voucher-service-66786949b4-8l97n
ts-voucher-service,ts-voucher-service-66786949b4-gldl5
tsdb-mysql,tsdb-mysql-0
tsdb-mysql,tsdb-mysql-1
tsdb-mysql,tsdb-mysql-2
tsdb-mysql-follower,tsdb-mysql-0
tsdb-mysql-follower,tsdb-mysql-2
tsdb-mysql-leader,tsdb-mysql-1
