deployment,pod
ts-basic-service,ts-basic-service-6f7d85c664-lkwnv
ts-basic-service,ts-basic-service-6f7d85c664-p9vcx
ts-cancel-service,ts-cancel-service-74d57dff8d-dz4hz
ts-cancel-service,ts-cancel-service-74d57dff8d-hlmr2
ts-config-service,ts-config-service-56756cd4b7-6hmbl
ts-config-service,ts-config-service-56756cd4b7-kxz4r
ts-consign-price-service,ts-consign-price-service-756469f8f9-h5crm
ts-consign-price-service,ts-consign-price-service-756469f8f9-rf8vj
ts-consign-service,ts-consign-service-57dff95494-klmwp
ts-consign-service,ts-consign-service-57dff95494-n4j2z
ts-contacts-service,ts-contacts-service-7598b8f96f-qqxqm
ts-contacts-service,ts-contacts-service-7598b8f96f-x64xc
ts-delivery-service,ts-delivery-service-796698457f-p6887
ts-delivery-service,ts-delivery-service-796698457f-zqrkr
ts-execute-service,ts-execute-service-76584dd465-96d4p
ts-execute-service,ts-execute-service-76584dd465-c7628
ts-food-delivery-service,ts-food-delivery-service-6446cc9999-bvlgd
ts-food-delivery-service,ts-food-delivery-service-6446cc9999-hqh4c
ts-food-service,ts-food-service-66f9498cdf-l826t
ts-food-service,ts-food-service-66f9498cdf-xf27r
ts-gateway-service,ts-gateway-service-6f99b4b794-m7t6b
ts-gateway-service,ts-gateway-service-6f99b4b794-txqfb
ts-inside-payment-service,ts-inside-payment-service-5d897577cc-4zn5m
ts-inside-payment-service,ts-inside-payment-service-5d897577cc-v7hqm
ts-news-service,ts-news-service-867fc4cb4f-xd62r
ts-news-service,ts-news-service-867fc4cb4f-zlnt6
ts-notification-service,ts-notification-service-54b94867b9-ddfvc
ts-notification-service,ts-notification-service-54b94867b9-k4qbq
ts-order-other-service,ts-order-other-service-599787b58b-48p9p
ts-order-other-service,ts-order-other-service-599787b58b-k9lr8
ts-order-service,ts-order-service-5cffbb94fd-9k6vs
ts-order-service,ts-order-service-5cffbb94fd-tqpsq
ts-payment-service,ts-payment-service-bcd86c6d7-h2kfz
ts-payment-service,ts-payment-service-bcd86c6d7-lrq7v
ts-preserve-other-service,ts-preserve-other-service-b89f79469-6t9bs
ts-preserve-other-service,ts-preserve-other-service-b89f79469-t7n9k
ts-preserve-service,ts-preserve-service-f67995894-27flb
ts-preserve-service,ts-preserve-service-f67995894-gc5qw
ts-price-service,ts-price-service-7c9648f9dc-jr7g6
ts-price-service,ts-price-service-7c9648f9dc-t8wk4
