replicaset,pod
ts-travel-plan-service-6b59d578db,ts-travel-plan-service-6b59d578db-mxmgq
ts-travel-plan-service-6b59d578db,ts-travel-plan-service-6b59d578db-n7qck
ts-travel-service-c598b7879,ts-travel-service-c598b7879-6mllj
ts-travel-service-c598b7879,ts-travel-service-c598b7879-bb7s2
ts-travel2-service-7ccf6c966f,ts-travel2-service-7ccf6c966f-228fh
ts-travel2-service-7ccf6c966f,ts-travel2-service-7ccf6c966f-h5mmq
ts-ui-dashboard-546ff59599,ts-ui-dashboard-546ff59599-6dpsx
ts-user-service-5fc7759cf4,ts-user-service-5fc7759cf4-b8hlk
ts-user-service-5fc7759cf4,ts-user-service-5fc7759cf4-kgg9s
ts-verification-code-service-6445455b6c,ts-verification-code-service-6445455b6c-9mnnz
ts-verification-code-service-6445455b6c,ts-verification-code-service-6445455b6c-l7vxt
ts-voucher-service-66786949b4,ts-voucher-service-66786949b4-8l97n
ts-voucher-service-66786949b4,ts-voucher-service-66786949b4-gldl5
ts-wait-order-service-d96db497b,ts-wait-order-service-d96db497b-896kd
ts-wait-order-service-d96db497b,ts-wait-order-service-d96db497b-f9lhl
