pod,container
prometheus-kube-state-metrics-6dd9d4d94f-pm8k4,docker://610fb37aeba18afc8376ba8bd49ef33b38be7638822344081df608434a799413
prometheus-prometheus-kube-prometheus-prometheus-0,docker://009b7e86b6f5960f3355373ad8fd3706d09f7d3c2a5e9b6e43f661ca391209e2
prometheus-prometheus-kube-prometheus-prometheus-0,docker://bc4bc389b46a3d0887935898d9e57b155993f38d23ea4671464b1d08169fa371
prometheus-prometheus-node-exporter-6gwxh,docker://6347e5d26932281b186471a4df34a7408f9319116acfa0e52ce45130967c01b7
prometheus-prometheus-node-exporter-ffb65,docker://150f0d5c8c6199a6daaa81d4e91d7cd84d5a90ee81d4a75a10d3ed582a899fad
prometheus-prometheus-node-exporter-g5ds2,docker://b7bfc0aa9888a13916ffd45ee6cf79fb409e0cf775d233b6b2bc9fa051e1f10d
prometheus-prometheus-node-exporter-h4zj5,docker://3d4474bf2ebf1f06a9a913424ae35ed402e6eb86d22a4508b3f0c40fd4031457
prometheus-prometheus-node-exporter-qp66q,docker://bc55ca8881d488f07f36d29c3c237cdaaa280725825b1caca8fbc70104583c4e
prometheus-prometheus-node-exporter-zv29v,docker://5375b779297aaa6973c6777952a379fbed8050184a8d2b660bd1792898e06026
rabbitmq-7dffdd7bb8-5v4q6,docker://642e98b14ced0c79a0bb698d68d54d3a42013a53dd593fd43994dc9a1571bddb
tempo-0,docker://9853ad57f4d76a0fe7b87bc177cbbdf71a5b158d423c80197152e61d5565a84e
tempo-0,docker://a9c73ea4944355187118a14d92639048c605daf6c4e96506d3d0f0210d3bdedf
ts-admin-basic-info-service-768df9d645-49bxh,docker://c7e0dd826319a69072b6f43dce3d8d9d02af1f9d423f175c6a8fd6efcdb66529
ts-admin-basic-info-service-768df9d645-6rfmc,docker://d6885480d7c10db33d99d27aa091a225eb5a0ba07c4fddec77636d229ad1917b
ts-admin-order-service-68f76f4775-pfq9j,docker://714a60024f40629fee4ec70bb5bc90d18b09f40d385433c41c42c6d70c06f61b
ts-admin-order-service-68f76f4775-r4tgh,docker://215bc1c73c172c7b93b509b2aba1a521b8f065999129a6bb06fef8ea906ed269
ts-admin-route-service-5b57ff6d57-kcqr5,docker://f36e5c5b001f7d7c8557aa8afe3c3c7085afb64acce253602687aec5f354cd7a
