src,dst
POST /api/v1/basicservice/basic/travel,GET /api/v1/trainservice/trains/byName/{name}
POST /api/v1/basicservice/basic/travels,POST /api/v1/priceservice/prices/byRouteIdsAndTrainTypes
POST /api/v1/basicservice/basic/travels,POST /api/v1/routeservice/routes/byIds/
POST /api/v1/basicservice/basic/travels,POST /api/v1/stationservice/stations/idlist
POST /api/v1/basicservice/basic/travels,POST /api/v1/trainservice/trains/byNames
POST /api/v1/consignservice/consigns,GET /api/v1/consignpriceservice/consignprice/{weight}/{isWithinRegion}
POST /api/v1/inside_pay_service/inside_payment,GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status}
POST /api/v1/inside_pay_service/inside_payment,GET /api/v1/orderOtherService/orderOther/{orderId}
POST /api/v1/inside_pay_service/inside_payment,GET /api/v1/orderservice/order/status/{orderId}/{status}
POST /api/v1/inside_pay_service/inside_payment,GET /api/v1/orderservice/order/{orderId}
POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/paymentservice/payment
POST /api/v1/preserveotherservice/preserveOther,GET /api/v1/assuranceservice/assurances/{typeIndex}/{orderId}
POST /api/v1/preserveotherservice/preserveOther,GET /api/v1/contactservice/contacts/{id}
POST /api/v1/preserveotherservice/preserveOther,GET /api/v1/securityservice/securityConfigs/{accountId}
POST /api/v1/preserveotherservice/preserveOther,GET /api/v1/userservice/users/id/{userId}
POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/basicservice/basic/travel
POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/consignservice/consigns
POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/orderOtherService/orderOther
POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/seatservice/seats
POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/travel2service/trip_detail
POST /api/v1/preserveservice/preserve,GET /api/v1/assuranceservice/assurances/{typeIndex}/{orderId}
POST /api/v1/preserveservice/preserve,GET /api/v1/contactservice/contacts/{id}
POST /api/v1/preserveservice/preserve,GET /api/v1/securityservice/securityConfigs/{accountId}
POST /api/v1/preserveservice/preserve,GET /api/v1/userservice/users/id/{userId}
