node,pod
k8s-node4,ts-rebook-service-9b757b65-wncfw
k8s-node4,ts-station-food-service-b974d49f7-9kh6g
k8s-node4,ts-ticket-office-service-5ccb5477cf-4gmjc
k8s-node4,ts-ticket-office-service-5ccb5477cf-gqpcg
k8s-node4,ts-travel-service-c598b7879-bb7s2
k8s-node4,ts-user-service-5fc7759cf4-b8hlk
k8s-node4,ts-wait-order-service-d96db497b-f9lhl
k8s-node4,tsdb-mysql-0
k8s-node5,cert-manager-cainjector-75b8b97c87-7nns6
k8s-node5,kube-flannel-ds-2km2c
k8s-node5,kube-proxy-crfd5
k8s-node5,loki-0
k8s-node5,loki-promtail-zfhsm
k8s-node5,nacosdb-mysql-0
k8s-node5,opentelemetry-operator-controller-manager-7bfb68fcc4-lvblp
k8s-node5,prometheus-prometheus-node-exporter-h4zj5
k8s-node5,ts-execute-service-76584dd465-96d4p
k8s-node5,ts-gateway-service-6f99b4b794-txqfb
k8s-node5,ts-notification-service-54b94867b9-ddfvc
k8s-node5,ts-notification-service-54b94867b9-k4qbq
k8s-node5,ts-order-other-service-599787b58b-k9lr8
k8s-node5,ts-price-service-7c9648f9dc-jr7g6
k8s-node5,ts-price-service-7c9648f9dc-t8wk4
k8s-node5,ts-route-service-54d744ccc9-6nwqm
k8s-node5,ts-train-food-service-6cc445bdd5-h4zbm
k8s-node5,ts-train-service-c8696bf95-mg4kb
k8s-node5,ts-travel-plan-service-6b59d578db-mxmgq
k8s-node5,ts-travel-plan-service-6b59d578db-n7qck
k8s-node5,ts-ui-dashboard-546ff59599-6dpsx
k8s-node5,tsdb-mysql-1
